asin,date,manufacturer,price,rank,average_rate,num_of_rate,review_url
B01CU1QZR8,,EloBeth,1764.0,13690.0,4.4,14,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01CU1QZR8&atag=kyoheikoga04-22&exp=2016-06-29T10%3A05%3A34Z&v=2&sig=lEgvJNHzfx9WBONzwrvGIeKoBcRYjjA3CmyOjZ4Bf9E%3D
B01GZW7UCM,,Egeek,1200.0,115983.0,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01GZW7UCM&atag=kyoheikoga04-22&exp=2016-06-29T10%3A05%3A39Z&v=2&sig=fCvB5TGF78%2BQ1OuOBzlRfAUu7OAQ3QbnbJso5xlppXQ%3D
B0177Y8VT8,,"Shenzhen Yoluke Technology Co., Limited",1799.0,30147.0,3.5,8,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B0177Y8VT8&atag=kyoheikoga04-22&exp=2016-06-29T10%3A05%3A41Z&v=2&sig=T2xC%2B%2BnUZDpIeF%2BKJWCK37BjsNMKbwGSzxjqeJ6T2S4%3D
B019C3D24Q,,Tera,1890.0,49904.0,3.4,8,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B019C3D24Q&atag=kyoheikoga04-22&exp=2016-06-29T10%3A05%3A46Z&v=2&sig=SJJvQF0Ske0FVIpYgV4vl67Xdhf9Z0H82hrog%2FObfKk%3D
B01E8WJOY8,,easybuyjp,1195.0,930.0,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01E8WJOY8&atag=kyoheikoga04-22&exp=2016-06-29T10%3A06%3A02Z&v=2&sig=jPbjuoAAdOuhxoDrZM%2F6q5jIR3v5e6V8QywVx2IY2ks%3D
B00VWLCKGI,,Flylinktech,1680.0,131095.0,1.0,2,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B00VWLCKGI&atag=kyoheikoga04-22&exp=2016-06-29T10%3A06%3A05Z&v=2&sig=t1bTnnVmhq0MMeTPrZVcbo5f7O3WLK356GZ0msPIkcU%3D
B01EMX8J0S,,Flylinktech,1880.0,195813.0,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01EMX8J0S&atag=kyoheikoga04-22&exp=2016-06-29T10%3A06%3A11Z&v=2&sig=IdFCkiOn7dYaDh4aEn%2B0lKwGtiUd3%2Bts9GY6nrPruVc%3D
B01CCM98JC,,STK,1660.0,158337.0,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01CCM98JC&atag=kyoheikoga04-22&exp=2016-06-29T10%3A06%3A13Z&v=2&sig=mfqMCT3wxsX%2B7fAaFj%2BQdt1wbIH8lcBQIXOzVD82leM%3D
B01CCLYGOK,,STK,1660.0,118399.0,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01CCLYGOK&atag=kyoheikoga04-22&exp=2016-06-29T10%3A06%3A20Z&v=2&sig=MJTre5N0pPh17Oxq1ZlQw7is%2BEX74zuCFwuPL165Uok%3D
B01D9ZNDDI,,Best Express(authorized by ECSEM),1500.0,,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01D9ZNDDI&atag=kyoheikoga04-22&exp=2016-06-29T10%3A06%3A22Z&v=2&sig=BQX1WPEcQJqTn8BbFAqJepxMMwobc%2Fn6tH20Jk3qLR0%3D
B01CU1QTOW,,EloBeth,1850.0,48401.0,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01CU1QTOW&atag=kyoheikoga04-22&exp=2016-06-29T10%3A06%3A25Z&v=2&sig=xyH%2Bs5dknBgJ7w1nNnNDFPWed%2Fw%2F%2FTccsSCbZHmsnG4%3D
B0110P7FCY,,スマートテック,1960.0,2355689.0,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B0110P7FCY&atag=kyoheikoga04-22&exp=2016-06-29T10%3A06%3A27Z&v=2&sig=fuBdHRNVAgEyUDS%2FZMHjZiLx4G%2F24oEGhOHM79kDByE%3D
B01EZMHBO6,,STK,1600.0,185703.0,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01EZMHBO6&atag=kyoheikoga04-22&exp=2016-06-29T10%3A06%3A30Z&v=2&sig=HMEwdsLqW1zIPdbkCZoW5yFnEyuc8kVfQMov4F%2F0oIE%3D
B01F2QE3C2,,Xiaomi,1200.0,289546.0,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01F2QE3C2&atag=kyoheikoga04-22&exp=2016-06-29T10%3A06%3A33Z&v=2&sig=6pIwHbMbyIRJohfRG4CIvq7raulLkcVQqKD%2BwQBhKB8%3D
B00NMA7QBQ,,ネット販売専門,1940.0,39599.0,2.7,58,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B00NMA7QBQ&atag=kyoheikoga04-22&exp=2016-06-29T10%3A06%3A36Z&v=2&sig=5byMCzfBLpI%2FMAH67Dp%2BuhElp0RjB7tgK2001Tkg2V4%3D
B01AXUEJIK,,深セン市の日株式会社生息地ネットワーク技術有限公司、,1985.0,356731.0,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01AXUEJIK&atag=kyoheikoga04-22&exp=2016-06-29T10%3A06%3A44Z&v=2&sig=rdvE7mKk1CzWGd7ZQGuXgbuyTQF5PbehDHhogKqcI3k%3D
B01FDCPLOY,,LQM(Jp),1980.0,402459.0,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01FDCPLOY&atag=kyoheikoga04-22&exp=2016-06-29T10%3A06%3A47Z&v=2&sig=wlYEGjh2LRcb1ftZTvwZhak%2FKEIU5ce4VyQmAAxv2lI%3D
B01GCV6FQS,,easybuyjp,1099.0,435.0,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01GCV6FQS&atag=kyoheikoga04-22&exp=2016-06-29T10%3A06%3A50Z&v=2&sig=PAAQ1rG3yP0BS1iAxgjN%2F3uxtbu%2F20F52qQoOOpE4rU%3D
B015R3R1YW,,Meiya,1980.0,649731.0,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B015R3R1YW&atag=kyoheikoga04-22&exp=2016-06-29T10%3A06%3A52Z&v=2&sig=bvwEeGpvj%2FQhA8V5g3v5ZOx16yhA0tR3oFUHmTWSXic%3D
B015S84JPK,,Meiya,1980.0,969407.0,5.0,1,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B015S84JPK&atag=kyoheikoga04-22&exp=2016-06-29T10%3A06%3A55Z&v=2&sig=%2Bnh53RwFaFWYspusAYFJ93%2Fqa%2B9f1AuO8%2Ff%2BFr1Po5U%3D
B01CU1R2F2,,Elobeth,1260.0,890357.0,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01CU1R2F2&atag=kyoheikoga04-22&exp=2016-06-29T10%3A06%3A59Z&v=2&sig=HbwHwyjaNm0H7MAE8KUDWCDXHApiG1Ej47qinPX8jhY%3D
B01CCLVQUW,,STK,1660.0,889098.0,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01CCLVQUW&atag=kyoheikoga04-22&exp=2016-06-29T10%3A07%3A01Z&v=2&sig=Gw%2FBj%2FE0K559HfZK29R9A4I2aJBi5t%2BSX1RMYngRqHo%3D
B010AWYX4G,,passion,1280.0,467974.0,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B010AWYX4G&atag=kyoheikoga04-22&exp=2016-06-29T10%3A07%3A04Z&v=2&sig=4VgayII3Vx7a7nOTwctYQqye1KmWOqJ4yAiTvYRMw0s%3D
B01HJA911W,,Heens,1419.0,24083.0,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01HJA911W&atag=kyoheikoga04-22&exp=2016-06-29T10%3A07%3A06Z&v=2&sig=%2BwHIBqyrcaH%2FFTrHwg0zK8TbjeiF5XbFR0HgrNwV1Rk%3D
B012DCJ0D0,,emporio（エンポリオ）,1620.0,,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B012DCJ0D0&atag=kyoheikoga04-22&exp=2016-06-29T10%3A07%3A10Z&v=2&sig=zy%2Fkaf9X2Wc61lrdEvG3AmHL8Lssl8kZnUUiQNioLEY%3D
B0178WPJLW,,Dicapac USA Inc.,1000.0,,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B0178WPJLW&atag=kyoheikoga04-22&exp=2016-06-29T10%3A07%3A12Z&v=2&sig=js6%2FvbhA27Qb983SggW0lhgs0XxPSHTnH7Xb9QdFCyw%3D
B010HNXR0E,,passion,1480.0,,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B010HNXR0E&atag=kyoheikoga04-22&exp=2016-06-29T10%3A07%3A15Z&v=2&sig=bynLRI4IZhAKD3an3zYkfwS897s8JTSBCjerhlJ%2FI%2BQ%3D
B01HCNIYYQ,,Finegood,1399.0,,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01HCNIYYQ&atag=kyoheikoga04-22&exp=2016-06-29T10%3A07%3A17Z&v=2&sig=CjTQUdUeLc6JaK65E6nj37ZdC%2Bdo7RWpNkFH%2Bndyg14%3D
B00N73MV6S,,キング・テック,1980.0,,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B00N73MV6S&atag=kyoheikoga04-22&exp=2016-06-29T10%3A07%3A19Z&v=2&sig=2CcACyef7I5bL7WfAiFqKtaNNyuxhe8YWpBIJ2h099k%3D
B01CY9QR6K,,INYES,,,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01CY9QR6K&atag=kyoheikoga04-22&exp=2016-06-29T10%3A07%3A23Z&v=2&sig=rF4ROpe0Twg%2F%2Fxr0FRLhMLzFoPWMfFza69jxvqUXyNw%3D
B01G1JVI7W,,SnowCinda,1250.0,,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01G1JVI7W&atag=kyoheikoga04-22&exp=2016-06-29T10%3A07%3A25Z&v=2&sig=eIfVyQcsh9GkDlAquonvtuBgNZn37ZPgyG2rWovBZS0%3D
B0178WKPNE,,soundbot,1599.0,,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B0178WKPNE&atag=kyoheikoga04-22&exp=2016-06-29T10%3A07%3A28Z&v=2&sig=nAQVXaMk8NwI4lnID8Mr7lx5LYa66E2W7FCFtEgmqxk%3D
B01CCLUQN0,,STK,1660.0,,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01CCLUQN0&atag=kyoheikoga04-22&exp=2016-06-29T10%3A07%3A30Z&v=2&sig=bkNhw9RFOw8t%2F6G51G6afjq4KT4OUpRfPJtMEKnN6Hs%3D
B01CCLN5FQ,,STK,1660.0,,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01CCLN5FQ&atag=kyoheikoga04-22&exp=2016-06-29T10%3A07%3A32Z&v=2&sig=xfPkEAYBmsnVTnydv7XIXiRC1xu4nZ4P9VkYa1Jnses%3D
B01AXUFL14,,深セン市の日株式会社生息地ネットワーク技術有限公司、,1985.0,,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01AXUFL14&atag=kyoheikoga04-22&exp=2016-06-29T10%3A07%3A35Z&v=2&sig=MIimnWKKsuxhMEw5XVcXFQmQupW4%2FTOlebQjqW68Jmo%3D
B01FLLSJ6E,,Eagle　Eye,2737.0,2104.0,2.9,13,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01FLLSJ6E&atag=kyoheikoga04-22&exp=2016-06-29T10%3A07%3A37Z&v=2&sig=tTInI97qtrz7yCDxC%2Ff3TydBwgo0Rhol0ROFPxcolZA%3D
B01GJHIJGO,,Tryangle.,2300.0,13550.0,4.0,2,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01GJHIJGO&atag=kyoheikoga04-22&exp=2016-06-29T10%3A07%3A43Z&v=2&sig=BuD%2BJU2Q9LHjRUQHhk6%2FCz7PO0UDTDoLhWkXpJ4O1kc%3D
B01H6FBUX2,,EasyDy,2058.0,27122.0,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01H6FBUX2&atag=kyoheikoga04-22&exp=2016-06-29T10%3A07%3A48Z&v=2&sig=1oKJ0Koyi2MMYsI8RrlYRGXg%2FRgj2Umx2u3VomJJdnw%3D
B01H6FBTWE,,EasyDy,2058.0,47620.0,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01H6FBTWE&atag=kyoheikoga04-22&exp=2016-06-29T10%3A07%3A50Z&v=2&sig=js%2BUkB2eiA8oHGZav9jBS1sAx9gECQFSvBnUtP4Jl0Q%3D
B01EMZ4YU0,,EasyDy,2383.0,250567.0,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01EMZ4YU0&atag=kyoheikoga04-22&exp=2016-06-29T10%3A07%3A52Z&v=2&sig=4hu5c1t90IAfd9CH3AT0dsyUC8IHVFfiQpwIMp9vdvE%3D
B01GO3B938,,PMJ,2980.0,7901.0,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01GO3B938&atag=kyoheikoga04-22&exp=2016-06-29T10%3A07%3A55Z&v=2&sig=ugZnuAxVrk9FCA0MlXG00nnr3BUQ%2FfROzHCZin%2FMFdE%3D
B01HBRPSZG,,Tryangle.,2500.0,2822.0,5.0,1,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01HBRPSZG&atag=kyoheikoga04-22&exp=2016-06-29T10%3A07%3A57Z&v=2&sig=8y1BvtyWzx8Vc1A3LSupSYa3nXUE0GlL4O5HHMaawrk%3D
B017HIWS7K,,Antech,2997.0,17342.0,3.3,3,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B017HIWS7K&atag=kyoheikoga04-22&exp=2016-06-29T10%3A08%3A06Z&v=2&sig=d1eyJ8L1jNOMzrJfOi1tHXpxaHAIIo6znr4h3KimBV8%3D
B017M0XT9O,,"Shenzhen Gentlen Technology  Development Co., Limited",2500.0,93517.0,2.8,4,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B017M0XT9O&atag=kyoheikoga04-22&exp=2016-06-29T10%3A08%3A15Z&v=2&sig=G2mgnolKdNfVbKXj%2BLt6cByVxWx65t0hPoP%2FLOFQYzk%3D
B01GRTGO2U,,"Shenzhen Gentlen Technology Development Co., Limited",2800.0,12633.0,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01GRTGO2U&atag=kyoheikoga04-22&exp=2016-06-29T10%3A08%3A24Z&v=2&sig=c6xSw1VHp1QsOpTfI0G2%2BTsF8n8PGwPD5c3pAMMQCKY%3D
B015MNGXBE,,Meiya,2680.0,219522.0,3.0,2,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B015MNGXBE&atag=kyoheikoga04-22&exp=2016-06-29T10%3A08%3A26Z&v=2&sig=oKtZXqgOQ%2ByQourT2hRG3Mxud1HNDuyrva1lfPU4inQ%3D
B01FMA1OTS,,Fuleadture,2888.0,136961.0,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01FMA1OTS&atag=kyoheikoga04-22&exp=2016-06-29T10%3A08%3A34Z&v=2&sig=HP%2FLPbedt%2BMMt9bXwEp4z4SYNI0XdPkub8kelutaIWM%3D
B01FHDMQW4,,YAMAYTECH,2799.0,132300.0,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01FHDMQW4&atag=kyoheikoga04-22&exp=2016-06-29T10%3A08%3A36Z&v=2&sig=aOFx9Wor5qsj79mQ1mOAQ05GcjmACQqBaYmUAJItZBI%3D
B01FDSOCB6,,ゴールドトーチ,2950.0,109231.0,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01FDSOCB6&atag=kyoheikoga04-22&exp=2016-06-29T10%3A08%3A38Z&v=2&sig=3ewLIOyZPeNdfDB%2B0DdS86NMwncmHCFa6%2FbkzrQ08hc%3D
B01DW32BY4,,EloBeth,2900.0,679616.0,4.0,2,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01DW32BY4&atag=kyoheikoga04-22&exp=2016-06-29T10%3A08%3A42Z&v=2&sig=lNNTGgxMGFk58727Hmv%2BnlkofV4xPbSug%2BS8Fe%2BC8ys%3D
B01GRZDRQK,,"Shenzhen Lantou Technology Co., Limited",2737.0,244971.0,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01GRZDRQK&atag=kyoheikoga04-22&exp=2016-06-29T10%3A08%3A47Z&v=2&sig=I%2FsBaSY4sP8d%2BgeYwHCwsLjpl8M%2FRUk6mL5jWEm5GYc%3D
B01H5EBIAY,,"Shenzhen Yoluke Technology Co., Limited",2799.0,267755.0,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01H5EBIAY&atag=kyoheikoga04-22&exp=2016-06-29T10%3A08%3A49Z&v=2&sig=e8xRjLbnpALEsILJeroeZsstgb%2BInUUwC0uYRVKHqZM%3D
B00YQLWPAC,,5ive,2080.0,133014.0,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B00YQLWPAC&atag=kyoheikoga04-22&exp=2016-06-29T10%3A08%3A51Z&v=2&sig=n9jpPnuDDOgsXIRFgzCrf198E26Ws73OoB2KUWJKADY%3D
B01EMZ4QIU,,EasyDy,2925.0,99681.0,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01EMZ4QIU&atag=kyoheikoga04-22&exp=2016-06-29T10%3A08%3A54Z&v=2&sig=pg%2Bfv%2F2gUHGxfbvcVC6PpK4a1N9Jd8ATIny8D%2F4AZJo%3D
B01B2AAEI4,,Tera,2690.0,78148.0,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01B2AAEI4&atag=kyoheikoga04-22&exp=2016-06-29T10%3A08%3A56Z&v=2&sig=QUVE24Gcvzrh3KLWvEVw5At4p6lVCfa0EGw5tfftitk%3D
B019BXEJ4E,,Tera,2550.0,330388.0,1.0,1,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B019BXEJ4E&atag=kyoheikoga04-22&exp=2016-06-29T10%3A09%3A00Z&v=2&sig=cwwB3bZjKLlrsNFC77x4NqsWeXL6x52RRKKwNh%2FH9zk%3D
B01D7FM9JO,,INYES,2100.0,611802.0,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01D7FM9JO&atag=kyoheikoga04-22&exp=2016-06-29T10%3A09%3A05Z&v=2&sig=RSrmUXq1sGWgmvCFuEFqsoBG8xJwmNG8qSmATk%2F6DqA%3D
B01EMYAJC8,,TKOOFN,2860.0,651766.0,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01EMYAJC8&atag=kyoheikoga04-22&exp=2016-06-29T10%3A09%3A08Z&v=2&sig=SnxecbEfURjfxP3xalYcouClqazf2wnn0DKUYeNVSOQ%3D
B01684CXYM,,xiaomi,2485.0,304193.0,5.0,1,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01684CXYM&atag=kyoheikoga04-22&exp=2016-06-29T10%3A09%3A11Z&v=2&sig=S9c2bYk2%2FEzooaLZgb30tw96EtB6yi6Q9KtCdnilJhQ%3D
B01BHEQXDK,,株式会社フューチャーズ,2980.0,,0.0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01BHEQXDK&atag=kyoheikoga04-22&exp=2016-06-29T10%3A09%3A17Z&v=2&sig=%2FiY%2BaUzNiJWjr0kzlv4i7kK24EFUVUyyGqELpj4RJlo%3D
