asin,average_rate,num_of_rate,review_url
B012CV1VMK,2.9,53,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B012CV1VMK&atag=kyoheikoga04-22&exp=2016-06-29T10%3A05%3A20Z&v=2&sig=7xLaqJFVtsx2A%2FYf0fogpfog24pt%2B90c%2BK1JOO086ok%3D
B01CU1RS42,4.3,11,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01CU1RS42&atag=kyoheikoga04-22&exp=2016-06-29T10%3A05%3A25Z&v=2&sig=tw6dBhglPqlIFrFg69tLsEbiWVFJKVgIQ8yKgNRM6Yg%3D
B00UZ81GW8,2.3,37,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B00UZ81GW8&atag=kyoheikoga04-22&exp=2016-06-29T10%3A05%3A30Z&v=2&sig=POkal%2BtKoTD1BTylvN9t1iaXt4sjEUtKaAtKRUnxuWk%3D
B01CU1QZR8,4.4,14,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01CU1QZR8&atag=kyoheikoga04-22&exp=2016-06-29T10%3A05%3A34Z&v=2&sig=lEgvJNHzfx9WBONzwrvGIeKoBcRYjjA3CmyOjZ4Bf9E%3D
B01GZW7UCM,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01GZW7UCM&atag=kyoheikoga04-22&exp=2016-06-29T10%3A05%3A39Z&v=2&sig=fCvB5TGF78%2BQ1OuOBzlRfAUu7OAQ3QbnbJso5xlppXQ%3D
B0177Y8VT8,3.5,8,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B0177Y8VT8&atag=kyoheikoga04-22&exp=2016-06-29T10%3A05%3A41Z&v=2&sig=T2xC%2B%2BnUZDpIeF%2BKJWCK37BjsNMKbwGSzxjqeJ6T2S4%3D
B019C3D24Q,3.4,8,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B019C3D24Q&atag=kyoheikoga04-22&exp=2016-06-29T10%3A05%3A46Z&v=2&sig=SJJvQF0Ske0FVIpYgV4vl67Xdhf9Z0H82hrog%2FObfKk%3D
B01E8WJOY8,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01E8WJOY8&atag=kyoheikoga04-22&exp=2016-06-29T10%3A06%3A02Z&v=2&sig=jPbjuoAAdOuhxoDrZM%2F6q5jIR3v5e6V8QywVx2IY2ks%3D
B00VWLCKGI,1.0,2,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B00VWLCKGI&atag=kyoheikoga04-22&exp=2016-06-29T10%3A06%3A05Z&v=2&sig=t1bTnnVmhq0MMeTPrZVcbo5f7O3WLK356GZ0msPIkcU%3D
B01EMX8J0S,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01EMX8J0S&atag=kyoheikoga04-22&exp=2016-06-29T10%3A06%3A11Z&v=2&sig=IdFCkiOn7dYaDh4aEn%2B0lKwGtiUd3%2Bts9GY6nrPruVc%3D
B01CCM98JC,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01CCM98JC&atag=kyoheikoga04-22&exp=2016-06-29T10%3A06%3A13Z&v=2&sig=mfqMCT3wxsX%2B7fAaFj%2BQdt1wbIH8lcBQIXOzVD82leM%3D
B01CCLYGOK,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01CCLYGOK&atag=kyoheikoga04-22&exp=2016-06-29T10%3A06%3A20Z&v=2&sig=MJTre5N0pPh17Oxq1ZlQw7is%2BEX74zuCFwuPL165Uok%3D
B01D9ZNDDI,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01D9ZNDDI&atag=kyoheikoga04-22&exp=2016-06-29T10%3A06%3A22Z&v=2&sig=BQX1WPEcQJqTn8BbFAqJepxMMwobc%2Fn6tH20Jk3qLR0%3D
B01CU1QTOW,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01CU1QTOW&atag=kyoheikoga04-22&exp=2016-06-29T10%3A06%3A25Z&v=2&sig=xyH%2Bs5dknBgJ7w1nNnNDFPWed%2Fw%2F%2FTccsSCbZHmsnG4%3D
B0110P7FCY,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B0110P7FCY&atag=kyoheikoga04-22&exp=2016-06-29T10%3A06%3A27Z&v=2&sig=fuBdHRNVAgEyUDS%2FZMHjZiLx4G%2F24oEGhOHM79kDByE%3D
B01EZMHBO6,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01EZMHBO6&atag=kyoheikoga04-22&exp=2016-06-29T10%3A06%3A30Z&v=2&sig=HMEwdsLqW1zIPdbkCZoW5yFnEyuc8kVfQMov4F%2F0oIE%3D
B01F2QE3C2,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01F2QE3C2&atag=kyoheikoga04-22&exp=2016-06-29T10%3A06%3A33Z&v=2&sig=6pIwHbMbyIRJohfRG4CIvq7raulLkcVQqKD%2BwQBhKB8%3D
B00NMA7QBQ,2.7,58,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B00NMA7QBQ&atag=kyoheikoga04-22&exp=2016-06-29T10%3A06%3A36Z&v=2&sig=5byMCzfBLpI%2FMAH67Dp%2BuhElp0RjB7tgK2001Tkg2V4%3D
B01AXUEJIK,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01AXUEJIK&atag=kyoheikoga04-22&exp=2016-06-29T10%3A06%3A44Z&v=2&sig=rdvE7mKk1CzWGd7ZQGuXgbuyTQF5PbehDHhogKqcI3k%3D
B01FDCPLOY,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01FDCPLOY&atag=kyoheikoga04-22&exp=2016-06-29T10%3A06%3A47Z&v=2&sig=wlYEGjh2LRcb1ftZTvwZhak%2FKEIU5ce4VyQmAAxv2lI%3D
B01GCV6FQS,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01GCV6FQS&atag=kyoheikoga04-22&exp=2016-06-29T10%3A06%3A50Z&v=2&sig=PAAQ1rG3yP0BS1iAxgjN%2F3uxtbu%2F20F52qQoOOpE4rU%3D
B015R3R1YW,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B015R3R1YW&atag=kyoheikoga04-22&exp=2016-06-29T10%3A06%3A52Z&v=2&sig=bvwEeGpvj%2FQhA8V5g3v5ZOx16yhA0tR3oFUHmTWSXic%3D
B015S84JPK,5.0,1,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B015S84JPK&atag=kyoheikoga04-22&exp=2016-06-29T10%3A06%3A55Z&v=2&sig=%2Bnh53RwFaFWYspusAYFJ93%2Fqa%2B9f1AuO8%2Ff%2BFr1Po5U%3D
B01CU1R2F2,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01CU1R2F2&atag=kyoheikoga04-22&exp=2016-06-29T10%3A06%3A59Z&v=2&sig=HbwHwyjaNm0H7MAE8KUDWCDXHApiG1Ej47qinPX8jhY%3D
B01CCLVQUW,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01CCLVQUW&atag=kyoheikoga04-22&exp=2016-06-29T10%3A07%3A01Z&v=2&sig=Gw%2FBj%2FE0K559HfZK29R9A4I2aJBi5t%2BSX1RMYngRqHo%3D
B010AWYX4G,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B010AWYX4G&atag=kyoheikoga04-22&exp=2016-06-29T10%3A07%3A04Z&v=2&sig=4VgayII3Vx7a7nOTwctYQqye1KmWOqJ4yAiTvYRMw0s%3D
B01HJA911W,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01HJA911W&atag=kyoheikoga04-22&exp=2016-06-29T10%3A07%3A06Z&v=2&sig=%2BwHIBqyrcaH%2FFTrHwg0zK8TbjeiF5XbFR0HgrNwV1Rk%3D
B012DCJ0D0,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B012DCJ0D0&atag=kyoheikoga04-22&exp=2016-06-29T10%3A07%3A10Z&v=2&sig=zy%2Fkaf9X2Wc61lrdEvG3AmHL8Lssl8kZnUUiQNioLEY%3D
B0178WPJLW,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B0178WPJLW&atag=kyoheikoga04-22&exp=2016-06-29T10%3A07%3A12Z&v=2&sig=js6%2FvbhA27Qb983SggW0lhgs0XxPSHTnH7Xb9QdFCyw%3D
B010HNXR0E,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B010HNXR0E&atag=kyoheikoga04-22&exp=2016-06-29T10%3A07%3A15Z&v=2&sig=bynLRI4IZhAKD3an3zYkfwS897s8JTSBCjerhlJ%2FI%2BQ%3D
B01HCNIYYQ,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01HCNIYYQ&atag=kyoheikoga04-22&exp=2016-06-29T10%3A07%3A17Z&v=2&sig=CjTQUdUeLc6JaK65E6nj37ZdC%2Bdo7RWpNkFH%2Bndyg14%3D
B00N73MV6S,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B00N73MV6S&atag=kyoheikoga04-22&exp=2016-06-29T10%3A07%3A19Z&v=2&sig=2CcACyef7I5bL7WfAiFqKtaNNyuxhe8YWpBIJ2h099k%3D
B01CY9QR6K,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01CY9QR6K&atag=kyoheikoga04-22&exp=2016-06-29T10%3A07%3A23Z&v=2&sig=rF4ROpe0Twg%2F%2Fxr0FRLhMLzFoPWMfFza69jxvqUXyNw%3D
B01G1JVI7W,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01G1JVI7W&atag=kyoheikoga04-22&exp=2016-06-29T10%3A07%3A25Z&v=2&sig=eIfVyQcsh9GkDlAquonvtuBgNZn37ZPgyG2rWovBZS0%3D
B0178WKPNE,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B0178WKPNE&atag=kyoheikoga04-22&exp=2016-06-29T10%3A07%3A28Z&v=2&sig=nAQVXaMk8NwI4lnID8Mr7lx5LYa66E2W7FCFtEgmqxk%3D
B01CCLUQN0,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01CCLUQN0&atag=kyoheikoga04-22&exp=2016-06-29T10%3A07%3A30Z&v=2&sig=bkNhw9RFOw8t%2F6G51G6afjq4KT4OUpRfPJtMEKnN6Hs%3D
B01CCLN5FQ,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01CCLN5FQ&atag=kyoheikoga04-22&exp=2016-06-29T10%3A07%3A32Z&v=2&sig=xfPkEAYBmsnVTnydv7XIXiRC1xu4nZ4P9VkYa1Jnses%3D
B01AXUFL14,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01AXUFL14&atag=kyoheikoga04-22&exp=2016-06-29T10%3A07%3A35Z&v=2&sig=MIimnWKKsuxhMEw5XVcXFQmQupW4%2FTOlebQjqW68Jmo%3D
B01FLLSJ6E,2.9,13,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01FLLSJ6E&atag=kyoheikoga04-22&exp=2016-06-29T10%3A07%3A37Z&v=2&sig=tTInI97qtrz7yCDxC%2Ff3TydBwgo0Rhol0ROFPxcolZA%3D
B01GJHIJGO,4.0,2,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01GJHIJGO&atag=kyoheikoga04-22&exp=2016-06-29T10%3A07%3A43Z&v=2&sig=BuD%2BJU2Q9LHjRUQHhk6%2FCz7PO0UDTDoLhWkXpJ4O1kc%3D
B01H6FBUX2,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01H6FBUX2&atag=kyoheikoga04-22&exp=2016-06-29T10%3A07%3A48Z&v=2&sig=1oKJ0Koyi2MMYsI8RrlYRGXg%2FRgj2Umx2u3VomJJdnw%3D
B01H6FBTWE,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01H6FBTWE&atag=kyoheikoga04-22&exp=2016-06-29T10%3A07%3A50Z&v=2&sig=js%2BUkB2eiA8oHGZav9jBS1sAx9gECQFSvBnUtP4Jl0Q%3D
B01EMZ4YU0,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01EMZ4YU0&atag=kyoheikoga04-22&exp=2016-06-29T10%3A07%3A52Z&v=2&sig=4hu5c1t90IAfd9CH3AT0dsyUC8IHVFfiQpwIMp9vdvE%3D
B01GO3B938,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01GO3B938&atag=kyoheikoga04-22&exp=2016-06-29T10%3A07%3A55Z&v=2&sig=ugZnuAxVrk9FCA0MlXG00nnr3BUQ%2FfROzHCZin%2FMFdE%3D
B01HBRPSZG,5.0,1,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01HBRPSZG&atag=kyoheikoga04-22&exp=2016-06-29T10%3A07%3A57Z&v=2&sig=8y1BvtyWzx8Vc1A3LSupSYa3nXUE0GlL4O5HHMaawrk%3D
B017HIWS7K,3.3,3,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B017HIWS7K&atag=kyoheikoga04-22&exp=2016-06-29T10%3A08%3A06Z&v=2&sig=d1eyJ8L1jNOMzrJfOi1tHXpxaHAIIo6znr4h3KimBV8%3D
B017M0XT9O,2.8,4,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B017M0XT9O&atag=kyoheikoga04-22&exp=2016-06-29T10%3A08%3A15Z&v=2&sig=G2mgnolKdNfVbKXj%2BLt6cByVxWx65t0hPoP%2FLOFQYzk%3D
B01GRTGO2U,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01GRTGO2U&atag=kyoheikoga04-22&exp=2016-06-29T10%3A08%3A24Z&v=2&sig=c6xSw1VHp1QsOpTfI0G2%2BTsF8n8PGwPD5c3pAMMQCKY%3D
B015MNGXBE,3.0,2,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B015MNGXBE&atag=kyoheikoga04-22&exp=2016-06-29T10%3A08%3A26Z&v=2&sig=oKtZXqgOQ%2ByQourT2hRG3Mxud1HNDuyrva1lfPU4inQ%3D
B01FMA1OTS,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01FMA1OTS&atag=kyoheikoga04-22&exp=2016-06-29T10%3A08%3A34Z&v=2&sig=HP%2FLPbedt%2BMMt9bXwEp4z4SYNI0XdPkub8kelutaIWM%3D
B01FHDMQW4,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01FHDMQW4&atag=kyoheikoga04-22&exp=2016-06-29T10%3A08%3A36Z&v=2&sig=aOFx9Wor5qsj79mQ1mOAQ05GcjmACQqBaYmUAJItZBI%3D
B01FDSOCB6,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01FDSOCB6&atag=kyoheikoga04-22&exp=2016-06-29T10%3A08%3A38Z&v=2&sig=3ewLIOyZPeNdfDB%2B0DdS86NMwncmHCFa6%2FbkzrQ08hc%3D
B01DW32BY4,4.0,2,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01DW32BY4&atag=kyoheikoga04-22&exp=2016-06-29T10%3A08%3A42Z&v=2&sig=lNNTGgxMGFk58727Hmv%2BnlkofV4xPbSug%2BS8Fe%2BC8ys%3D
B01GRZDRQK,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01GRZDRQK&atag=kyoheikoga04-22&exp=2016-06-29T10%3A08%3A47Z&v=2&sig=I%2FsBaSY4sP8d%2BgeYwHCwsLjpl8M%2FRUk6mL5jWEm5GYc%3D
B01H5EBIAY,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01H5EBIAY&atag=kyoheikoga04-22&exp=2016-06-29T10%3A08%3A49Z&v=2&sig=e8xRjLbnpALEsILJeroeZsstgb%2BInUUwC0uYRVKHqZM%3D
B00YQLWPAC,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B00YQLWPAC&atag=kyoheikoga04-22&exp=2016-06-29T10%3A08%3A51Z&v=2&sig=n9jpPnuDDOgsXIRFgzCrf198E26Ws73OoB2KUWJKADY%3D
B01EMZ4QIU,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01EMZ4QIU&atag=kyoheikoga04-22&exp=2016-06-29T10%3A08%3A54Z&v=2&sig=pg%2Bfv%2F2gUHGxfbvcVC6PpK4a1N9Jd8ATIny8D%2F4AZJo%3D
B01B2AAEI4,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01B2AAEI4&atag=kyoheikoga04-22&exp=2016-06-29T10%3A08%3A56Z&v=2&sig=QUVE24Gcvzrh3KLWvEVw5At4p6lVCfa0EGw5tfftitk%3D
B019BXEJ4E,1.0,1,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B019BXEJ4E&atag=kyoheikoga04-22&exp=2016-06-29T10%3A09%3A00Z&v=2&sig=cwwB3bZjKLlrsNFC77x4NqsWeXL6x52RRKKwNh%2FH9zk%3D
B01D7FM9JO,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01D7FM9JO&atag=kyoheikoga04-22&exp=2016-06-29T10%3A09%3A05Z&v=2&sig=RSrmUXq1sGWgmvCFuEFqsoBG8xJwmNG8qSmATk%2F6DqA%3D
B01EMYAJC8,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01EMYAJC8&atag=kyoheikoga04-22&exp=2016-06-29T10%3A09%3A08Z&v=2&sig=SnxecbEfURjfxP3xalYcouClqazf2wnn0DKUYeNVSOQ%3D
B01684CXYM,5.0,1,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01684CXYM&atag=kyoheikoga04-22&exp=2016-06-29T10%3A09%3A11Z&v=2&sig=S9c2bYk2%2FEzooaLZgb30tw96EtB6yi6Q9KtCdnilJhQ%3D
B01BHEQXDK,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01BHEQXDK&atag=kyoheikoga04-22&exp=2016-06-29T10%3A09%3A17Z&v=2&sig=%2FiY%2BaUzNiJWjr0kzlv4i7kK24EFUVUyyGqELpj4RJlo%3D
B016HPYI2C,1.0,1,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B016HPYI2C&atag=kyoheikoga04-22&exp=2016-06-29T10%3A09%3A22Z&v=2&sig=UGLIMLSEnObYEGRH7c482gglNtvyAayr%2BDK2JAxHjSU%3D
B0132GVZ7K,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B0132GVZ7K&atag=kyoheikoga04-22&exp=2016-06-29T10%3A09%3A26Z&v=2&sig=OhIaaUUbxTytJEQ83rX4zr7pf121KzQ0XFcvCAFlAg8%3D
B01HIJTMCC,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01HIJTMCC&atag=kyoheikoga04-22&exp=2016-06-29T10%3A09%3A29Z&v=2&sig=PGTzQfAwLnlcUnHVxiFFTM1kb%2Fs16tCoErXPr1BdA9U%3D
B00YV5KAS2,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B00YV5KAS2&atag=kyoheikoga04-22&exp=2016-06-29T10%3A09%3A31Z&v=2&sig=b4Fb7TpSdTNz3XSfJ1%2FkxA%2FiXAwOzZ0pNwOUwRrbiJY%3D
B01HMQBPV2,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01HMQBPV2&atag=kyoheikoga04-22&exp=2016-06-29T10%3A09%3A33Z&v=2&sig=WChqxWbBrBnlXFFvpTpaHr%2Ft0JXjzJXPcNu%2BIET05sQ%3D
B01H3KX72W,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01H3KX72W&atag=kyoheikoga04-22&exp=2016-06-29T10%3A09%3A37Z&v=2&sig=8Wx5u8zHyp7b4lCeSsL8eDz6WL18iNqzTGbwUUN54W4%3D
B01HGL6ZA4,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01HGL6ZA4&atag=kyoheikoga04-22&exp=2016-06-29T10%3A09%3A39Z&v=2&sig=nTZ1d1jpRylQNnY9Mrx70HOxmLhqC5EQQ8iaKQrGCcg%3D
B01HKMSVQU,0,0,http://www.amazon.jp/reviews/iframe?akid=AKIAIHC5MGDNMMKTRPOA&alinkCode=xm2&asin=B01HKMSVQU&atag=kyoheikoga04-22&exp=2016-06-29T10%3A09%3A43Z&v=2&sig=F%2BiKPxUtoxr3X5Zrkdfx3NN8rgerJpevXyUAQVlJGK8%3D
