asin,date,manufacturer,price,rank
B0178WPJLW,,Dicapac USA Inc.,1000.0,
B010HNXR0E,,passion,1480.0,
B01HCNIYYQ,,Finegood,1399.0,
B00N73MV6S,,キング・テック,1980.0,
B00JRNXQ3E,,Iwown,1500.0,
B01CY9QR6K,,INYES,,
B01G1JVI7W,,SnowCinda,1250.0,
B0178WKPNE,,soundbot,1599.0,
B01CCLUQN0,,STK,1660.0,
B01CCLN5FQ,,STK,1660.0,
B01AXUFL14,,深セン市の日株式会社生息地ネットワーク技術有限公司、,1985.0,
B01FLLSJ6E,,Eagle　Eye,2737.0,2104.0
B01AIH5V0S,,Antech,2000.0,4524.0
B01GJHIJGO,,Tryangle.,2300.0,13550.0
B01H6FBUX2,,EasyDy,2058.0,27122.0
B01H6FBTWE,,EasyDy,2058.0,47620.0
B01EMZ4YU0,,EasyDy,2383.0,250567.0
B01GO3B938,,PMJ,2980.0,7901.0
B01HBRPSZG,,Tryangle.,2500.0,2822.0
B0180FLJPQ,,ArmorSuit,2980.0,139054.0
B017HIWS7K,,Antech,2997.0,17342.0
B01EJCL7XS,,UTOVME,2999.0,109382.0
B00ZOFSSXC,,DLAND,2699.0,694940.0
B017M0XT9O,,"Shenzhen Gentlen Technology  Development Co., Limited",2500.0,93517.0
B01CU1R6CG,,EloBeth,2700.0,163138.0
B01GRTGO2U,,"Shenzhen Gentlen Technology Development Co., Limited",2800.0,12633.0
B015MNGXBE,,Meiya,2680.0,219522.0
B00WW1XH1O,,きみのため,2998.0,91605.0
B01FMA1OTS,,Fuleadture,2888.0,136961.0
B01FHDMQW4,,YAMAYTECH,2799.0,132300.0
B01FDSOCB6,,ゴールドトーチ,2950.0,109231.0
B00VWSM1RE,,Flylinktech,2100.0,146567.0
B01DW32BY4,,EloBeth,2900.0,679616.0
B01GRZDRQK,,"Shenzhen Lantou Technology Co., Limited",2737.0,244971.0
B01H5EBIAY,,"Shenzhen Yoluke Technology Co., Limited",2799.0,267755.0
B00YQLWPAC,,5ive,2080.0,133014.0
B01EMZ4QIU,,EasyDy,2925.0,99681.0
B01B2AAEI4,,Tera,2690.0,78148.0
B01CU1R2MA,,EloBeth,2099.0,53618.0
B019BXEJ4E,,Tera,2550.0,330388.0
B0111NG75Q,,BlueCraft,2500.0,378847.0
B01D7FM9JO,,INYES,2100.0,611802.0
B01EMYAJC8,,TKOOFN,2860.0,651766.0
B00NMAQ5LI,,Gadgettown,2488.0,264619.0
B01684CXYM,,xiaomi,2485.0,304193.0
B01BHEQXDK,,株式会社フューチャーズ,2980.0,
B01AN6EL6O,,YAMAYTECH,2199.0,
B00NMAQ3O2,,T-mart日本,2980.0,200819.0
B016HPYI2C,,Fortune,2790.0,1487499.0
B0132GVZ7K,,iCARER,2500.0,1419499.0
B01HIJTMCC,,Teshony,2999.0,92328.0
B00YV5KAS2,,Generic,2370.0,1481189.0
B01HMQBPV2,,Colofan,2759.0,
B01HMSACCI,,Colofan,2759.0,
B01H3KX72W,,Floveme,2599.0,
B01HGL6ZA4,,FLOVEME,2599.0,
B01147WHI0,,Flylinktech,2200.0,
B01HKMSVQU,,Heens,2897.0,
B01HLSDPH8,,Heens,2998.0,
B01H1T0R9Q,,ECSEM,2800.0,
B01HGA6SDE,,iWOWN,2890.0,
B01EZN0U0C,,STK,2460.0,
B0132HMJBU,,iCARER,2500.0,
B01D17QJE4,,ブライトンネット,2480.0,
B01DQK4IS0,,CASIO(カシオ),2700.0,
B01FHD0KRW,,YAMAYTECH,2999.0,
B01FHEGM50,,YAMAYTECH,2699.0,
B01FNNQ9O4,,UTOVME,3999.0,156154.0
B01FQRQTUG,,UTOVME,3999.0,98546.0
B0180FLJPG,,ArmorSuit,3500.0,140735.0
B00OUOACZK,,きみのため,3889.0,26758.0
B01FRW21OI,,Eagle　Eye,3599.0,27426.0
B01EFG4PB4,,TKOOFN,3399.0,127950.0
B01E8A3UVS,,Jcotton Design,3999.0,48873.0
B01FHFEWLU,,Diggro,3498.0,29765.0
B017HDVK2O,,antech,3788.0,88482.0
B011NQKD2O,,ミニ,3180.0,
B0151JO8YI,,Shenzhen Wave,3900.0,12184.0
B01HCXEJJ0,,Floveme,3299.0,
B01FDCPLT4,,LQM(Jp),3267.0,191566.0
B0151KNV90,,Shenzhen Wave,3999.0,118995.0
B019C6LMEA,,Tera,3590.0,58967.0
B01AUMZUAW,,山崎屋,3900.0,
B00MYYNEZ8,,,3980.0,141852.0
B01DW32BXU,,EloBeth,3000.0,221486.0
B00W6U8OSW,,,3600.0,152996.0
B01F51Q3XG,,Lo.gas,3399.0,92749.0
B01G1VW9SM,,Lo.gas,3873.0,131880.0
B01G1S4NFC,,LIULIU,3890.0,346997.0
B01EF9O8YA,,TKOOFN,3199.0,328746.0
B00PL9RAZS,,No Brand,3300.0,278835.0
B01EFG4NY8,,TKOOFN,3299.0,
B0196HJD0U,,samdi,3290.0,892062.0
B00ZUOHPUE,,passion,3980.0,531220.0
B0192MAZFQ,,FCMADE,3980.0,676001.0
B0132GVZ9I,,iCARER,3880.0,
B00ZZ9YTSK,,hoco.,4380.0,755259.0
B01G3201MU,,Lo.gas,3873.0,
B010CL38DM,,passion,3780.0,1070847.0
B010CLCCYI,,passion,3780.0,1453687.0
B01HD2F8C2,,Central eleven,3500.0,
B00N3LO1I0,,CeoMateテクノロジー株式会社,3222.0,
B01EAMQNHM,,CeoMateテクノロジー株式会社,3222.0,
B01EALIVRI,,CeoMateテクノロジー株式会社,3222.0,
B01HMSPCY6,,Colofan,3259.0,
B01HMSRMB2,,Colofan,3259.0,
B01HMGUQ80,,FLOVEME,3999.0,
B01HNHE5E4,,FLOVEME,3999.0,
B01HGGAWX0,,FLOVEME,3299.0,
B01HNLXIZW,,FLOVEME,3099.0,
B0123DVH3U,,Flylinktech,3880.0,
B01HI4KQD6,,Heens,3698.0,
B01GPMHPM2,,Pebble Technology Corp,3980.0,
B01EZME996,,STK,3200.0,
B0178WKKM0,,X-Doria,3500.0,
B00ZYYI0M2,,hoco.,3280.0,
B0132HMJE2,,iCARER,3980.0,1418097.0
B01H4Q1I62,,Shop-Riez,3980.0,
B01G3IO46I,,BENICE,3999.0,
B01FU1DZ4G,,YAMAYTECH,3999.0,37132.0
B01E5MAPEO,,YAMAYTECH,3454.0,
B00O43SRW2,,Origin,,1519200.0
B01GRR02HA,,RIVERSONG JAPAN,4980.0,
B01FNNQ8M2,,UTOVME,4599.0,33854.0
B018EAQ1XM,,Shenzhen Wave,4190.0,10966.0
B015R3J8PC,,Shenzhen Wave,4100.0,16901.0
B00RL44GL2,,WIMIUS,4666.0,206817.0
B019ISFW9I,,LoveBlue,4200.0,92390.0
B015FGSRVC,,Shenzhen Wave,4299.0,104590.0
B019IJ0V8E,,LoveBlue,4200.0,78908.0
B014R6UWHI,,Shenzhen Wave,4299.0,49411.0
B013GJMS10,,Shenzhen Wave,4900.0,138761.0
B01DK8QSPY,,Shenzhen Wave,4190.0,29793.0
B019JOAXWC,,LoveBlue,4200.0,206697.0
B01FJLZF4K,,Mindkoo（ミンドコ）,4380.0,124750.0
B014R2P8K8,,Flylinktech,4999.0,791643.0
B015ZCIRYS,,サンリーチ,4980.0,276262.0
B00ZFRIK0K,,passion,4980.0,250019.0
B01F3DBOWQ,,TKOOFN,4299.0,83785.0
B018N7XJWW,,FCMADE,4980.0,316321.0
B00O9YU5QW,,Origin,4980.0,302885.0
B01EMZ4KOA,,EasyDy,4659.0,
B00XW0PSAM,,サムスン,4799.0,388443.0
B00NYZG3FO,,Origin,4680.0,315911.0
B010B2RXUQ,,passion,4380.0,866112.0
B00N91YAS0,,ファイブアンドファイブ,4880.0,416213.0
B018N7QN7U,,FCMADE,4980.0,1144343.0
B019EYXL62,,Shenzhen Wave,4900.0,1162400.0
B00ZCAE3NS,,passion,4980.0,588235.0
B00N2D1H86,,Origin,4380.0,723497.0
B00ZZ92EN2,,hoco.,4380.0,
B00YE65WR2,,Skinomi,4714.0,
B00N2CVN4A,,Origin,4680.0,
B01HMTC3TM,,Colofan,4959.0,
B01H3F7X4U,,Floveme,4999.0,
B01H4PAOV8,,Jisong Co; Ltd,4000.0,
B019C78MNI,,Tera,4990.0,2030990.0
B01GOMODIC,,SZHS,4200.0,
B01H8O6SPG,,Shop-Riez,4280.0,
B0197NQ0CM,,FCMADE,4980.0,
B015ATF9I8,,MisSmart,5680.0,1658.0
B01G1SGZPS,,Pushingbest,5480.0,16897.0
B010KA6AH6,,STK,5600.0,114249.0
B01G1VWF7W,,Lo.gas,5228.0,43414.0
B014R2P8RG,,Flylinktech,5180.0,214341.0
B01DNZYWLQ,,LIKECAR,5999.0,233902.0
B00YZZ80OE,,Flylinktech,5380.0,369527.0
B015MGAWCW,,Meiya,5300.0,496988.0
B01BHEQZMO,,株式会社フューチャーズ,5980.0,33171.0
B00O2NR0VS,,ORIGIN,5700.0,461989.0
B01HEUVBNS,,FLOVEME,6999.0,128348.0
B00N2NLB6Y,,null,6896.0,56726.0
B01H3QLQZG,,Eagle　Eye,6177.0,174847.0
B015B6ENV4,,WIMIUS,6980.0,90740.0
B01H5BXK62,,Floveme,6999.0,
B01G32L79Q,,Lo.gas,6454.0,85143.0
B01H55CD16,,Jisong Co; Ltd,6000.0,196922.0
B0178WJMNS,,soundbot,6580.0,376888.0
B01BBTK8NW,,カイホウジャパン,6800.0,637088.0
B01467FR9G,,STK,6500.0,660013.0
B00PC63D8S,,Origin,6980.0,337545.0
B00N9O4Q2C,,ファイブアンドファイブ,6980.0,386987.0
B00JTC9F4C,2014-10-08,MyKronoz(マイクロノス),6390.0,37751.0
B014KJC1EO,,Flylinktech,6000.0,100100.0
B00PC5XVPY,,Origin,6980.0,391885.0
B0178WMCZ8,,soundbot,6549.0,650910.0
B01EUKOVMI,,株式会社フューチャーズ,6980.0,
B01CQT6OQG,,camecho,6000.0,
B01H3AUTC8,,Floveme,6999.0,
B01HNIMGY4,,FLOVEME,6999.0,
B01EFJD1IY,,ZDTech,8580.0,59560.0
B01BY7OLWU,,RIVERSONG JAPAN,8888.0,108052.0
B01BY7ONOG,,RIVERSONG JAPAN,8888.0,97382.0
B01EH33ODK,,Camecho,8500.0,126110.0
B01BY7OKBW,,RIVERSONG JAPAN,8888.0,70412.0
B00NQSQBZ6,,ノーブランド品,8480.0,206211.0
B01CGM0TI2,,STK,8000.0,388235.0
B00P8P93R8,,Otium,8650.0,335453.0
B01FF79H9C,,PURIT,8910.0,517243.0
B01CQR26G0,,Camecho,8500.0,548897.0
B010K75JLM,,STK,8188.0,457337.0
B00RVCIT62,,WIMIUS,8000.0,37763.0
B01AUM2S48,,"Shenzhen Dingfengsheng Culture Communication Co.,Ltd",8700.0,1016761.0
B019STJL12,,Molingo,,782181.0
B010K6HY5C,,STK,8188.0,982571.0
B00VI89MRK,,Origin,8260.0,689631.0
B00S7FHJVI,,WIMIUS,8800.0,49992.0
B01HKRQAHW,,JiLin Tech Co;Ltd,8000.0,
B01FUIRAVI,,IQI,8999.0,
B01EH0YIBK,,Camecho,8500.0,
B01HEWPIK8,,Eagle-D20,8377.0,
B01H72TVNA,,Floveme,8999.0,
B01H6UE3A4,,Floveme,8999.0,
B0178WMPBO,,Obliq,8098.0,1334687.0
B00TATM794,,iradish,8900.0,
B01CFXT8IY,,LIKECAR,8900.0,
B0192R1JME,,FCMADE,8980.0,
B010KC76VS,,STK,8288.0,
B010KC4GHA,,STK,8200.0,1033073.0
B01CGLJCR2,,STK,8000.0,
B01CGL9FME,,STK,8000.0,
B01CGLW75Q,,STK,8000.0,
B013S1XOQ4,,Ztylus,8000.0,
B01AULEN10,,"Shenzhen Dingfengsheng Culture Communication Co.,Ltd",8700.0,
B01GJ0YTLK,,OEM,9999.0,19270.0
B01FW4ML4Q,,LAD WEATHER,9800.0,6025.0
B01GL4W6GY,,UZOU,9999.0,64369.0
B01BG9JVP8,,株式会社フューチャーズ,9800.0,46579.0
B01EWNIE44,,Samsung,9980.0,303971.0
B01E3727TM,,No.1,9980.0,266269.0
B00M5TRWD2,,Bellstone,9500.0,115857.0
B01E5BYL2M,,Hesvit,9600.0,349691.0
B018KC3II0,,"Shenzhen Yoluke Technology Co., Limited",9000.0,363076.0
B01EKZOCV8,,No.1,9980.0,2017063.0
B0178WJNFU,,Truffol,9980.0,708756.0
B00V3LEYF2,,STK,,294932.0
B01DNECCDM,,,9850.0,681055.0
B01DNECAN4,,,9850.0,61477.0
B017E9L22Y,,Pandaoo,9800.0,830930.0
B0178WKNJK,,Generic,9470.0,2036435.0
B0178WL844,,JETech,9892.0,
B00YE2IRN2,,Kollea,9700.0,
B0178WL8NU,,Doogee,9980.0,
B0178WU9LM,,Fitbug,9000.0,
B01HM45BSM,,FLOVEME,9999.0,
B01EKYB140,,iMacwear,9980.0,
B0113SAG5G,,JLAB,9530.0,
B00JQTOZY8,,MOTA (モタ),9876.0,
B00JQTP006,,MOTA (モタ),9592.0,
B01H577D8C,,Jisong Co; Ltd,9000.0,
B00ZUDPZAW,,E-balance,,
B017IAQERM,,"Shenzhen Yoluke Technology Co., Limited",9900.0,
B00H7ASLVG,,Pebble,10500.0,6600.0
B00BKEQBI0,,Pebble,10970.0,74460.0
B00IQO0HJ6,,Samsung,,266596.0
B019OBX5V6,,MobileAction,10500.0,220347.0
B01AK6PZZS,,STK,10800.0,106265.0
B014RI4TO8,,STK,10800.0,477936.0
B01HG9GV28,,FLOVEME,10999.0,
B00NKEQ7EQ,,Indigi,10800.0,
B00NKEQ3QS,,Indigi,10800.0,
B00NKEQ85O,,Indigi,10800.0,
B00NKEQA0C,,Indigi,10800.0,
B00NKEQ9G2,,Indigi,10800.0,
B00NKEQ4YE,,Indigi,10800.0,
B00NKEQ2ZA,,Indigi,10800.0,
B00NKEPZYO,,Indigi,10800.0,
B00QUHPFSY,,Indigi,10000.0,
B00NKEQ8QI,,Indigi,10800.0,
B00NKEQ1C4,,Indigi,10800.0,
B00NKEQ5NO,,Indigi,10800.0,
B00NKEQ0TS,,Indigi,10800.0,
B00NKEQ6VU,,Indigi,10800.0,
B01CFXTATQ,,LIKECAR,10299.0,
B017AQ78CY,,Electronics,10800.0,
B00NKEQ69C,,Indigi,10800.0,
B00NKEPYPY,,Indigi,10800.0,
B01AK6USZ0,,STK,10800.0,
B01AK64OLY,,STK,10800.0,
B0178WKZDO,,Yuntab,10570.0,
B00IW05H2Q,,Pebble,11980.0,57716.0
B01E6TMPMG,,Diggro,11040.0,63614.0
B01DBN2GRC,,Zeaplus,11999.0,109618.0
B00JTC9KU6,2014-10-08,MyKronoz(マイクロノス),11470.0,44361.0
B0178WP1RY,,dizauL,11202.0,1241086.0
B00NDUZJ82,,Indigi,11700.0,
B00NDUZWMK,,Indigi,11700.0,
B00NDUZNSI,,Indigi,11700.0,
B00NDUZE0A,,Indigi,11700.0,
B00NDUZLIU,,Indigi,11700.0,
B00NDUZRYI,,Indigi,11700.0,
B00NDUZVHQ,,Indigi,11700.0,
B00NDUZKMW,,Indigi,11700.0,
B00NDV8OTM,,Indigi,11700.0,
B00NDUZOTQ,,Indigi,11700.0,
B00NDUZH1Q,,Indigi,11700.0,
B00NDUZU72,,Indigi,11700.0,
B00Q5VBRZ0,,Indigi,11700.0,
B00Q5VCBNW,,Indigi,11700.0,
B00Q5VBWK0,,Indigi,11700.0,
B01H518MF6,,Jisong Co; Ltd,12000.0,148252.0
B015PYHNE6,,Sony,12980.0,138545.0
B013I0QNEA,,OZONE,12980.0,182269.0
B00XJKBD4U,,Sony,12780.0,218300.0
B014RHS8JG,,STK,12500.0,300238.0
B014RFZ3GY,,STK,12888.0,364508.0
B0156V278K,,STK,12000.0,486697.0
B01EUKN8ZE,,株式会社フューチャーズ,12900.0,
B019DNP9AK,,STK,12800.0,1154187.0
B0178WJWOW,,i-Blason,12000.0,
B00DNDF2OU,,Sony,13200.0,5551.0
B00IVX0XGO,,Pebble,13390.0,27092.0
B01GV35194,,Jisong Co;Ltd,13600.0,28400.0
B0178WLI6M,,Sony,13760.0,142543.0
B00FB2XNCE,,,13980.0,
B00MGHIBQU,,LG,13977.0,56865.0
B0178WQBZK,,Diesel,13821.0,240737.0
B018VHFH60,2015-11-30,CONNECTEDEVICE Ltd.,13812.0,198486.0
B007VG6ZC8,,,13800.0,260969.0
B00KIKID0G,,,13098.0,291224.0
B00XOJ4Q40,,KATA,13790.0,717907.0
B0178WMQJ0,,Asus,13722.0,
B00TAUWRKC,,iradish,13800.0,
B01HHL8WKY,,Ordro,13980.0,
B017933OP8,,"Shenzhen Yoluke Technology Co., Limited",13000.0,
B0179B07E6,,"Shenzhen Yoluke Technology Co., Limited",13000.0,
B00Y2CYYQ8,,Pebble,14425.0,1245.0
B010UV23ZI,2015-07-30,Withings,14946.0,52393.0
B00IYEBE8G,,,14800.0,14075.0
B00IYEM5O8,,,,115032.0
B00HQIN4DY,,SONY ソニー,14800.0,146207.0
B00LB2ZQ3C,,LG,14630.0,141345.0
B01AN6QK6S,,ZGPAX,14980.0,244941.0
B017IUMIRM,,"Shenzhen Yoluke Technology Co., Limited",14000.0,309643.0
B01AXV961Y,,ZGPAX,14980.0,303973.0
B0156U8U1E,,STK,14600.0,991294.0
B0178WMNIE,,Anseahawk,14888.0,837112.0
B017APHP82,,Electronics,14898.0,
B0178WKAAW,,META WATCH LTD,14185.0,
B0178WMM76,,Moov,14174.0,
B0178WJKGC,,Moov,14081.0,
B01A35AWZY,,Morjava Tech Limited,14888.0,
B0156VIWPC,,STK,14600.0,
B014ETCHX0,,SWB02,14981.0,
B0178WP08E,,Tenergy,14584.0,
B00ZEXKOQI,,passion,14800.0,
B017VP3HKQ,,"Shenzhen Yoluke Technology Co., Limited",14000.0,
B010UV1XIG,2015-07-30,Withings,15109.0,11414.0
B017IHAXYK,,EasyDy,15237.0,66712.0
B01DZKU5QK,,EasyDy,15237.0,76292.0
B0169RUJRQ,,Sony,15500.0,8564.0
B01BHEQQ2I,,株式会社フューチャーズ,15900.0,38774.0
B00Z23L6BW,,Pebble,15000.0,326556.0
B00AGJZ0LY,2013-01-15,Sincere　Inc.,,215973.0
B00N3PDTVG,,サムスン,,505118.0
B0178WLHJK,,Apexel,15676.0,
B01EUKQPHW,,株式会社フューチャーズ,15800.0,
B01HHLMJZS,,FLOVEME,15999.0,
B014QWBW1I,,Flylinktech,15200.0,85600.0
B00UT0OXB8,,Origin,15800.0,971837.0
B01DXWXSDC,,RANG,15600.0,
B01DXX6HYS,,RANG,15600.0,
B01DXX9N4E,,RANG,15600.0,
B00UJV9VSC,,STK,15000.0,974201.0
B00UJVEZGA,,STK,15800.0,
B00UJVJDJO,,STK,15800.0,
B00Y2CYZ5I,,Pebble,16600.0,26927.0
B01EMZ4H5W,,EasyDy,16168.0,171733.0
B01EMZ4VPS,,EasyDy,16634.0,238024.0
B01EMZ4UOK,,EasyDy,16168.0,309680.0
B017U2Q4DW,,EasyDy,16013.0,141421.0
B00Q9KEIAI,,LG,16400.0,163189.0
B00Z8SFDUG,,Faith ism,16500.0,505487.0
B019ONO7L6,,passion,16800.0,
B00QFCXGGM,,ASUSTek,16155.0,232664.0
B00ZOOXQEE,,passion,16800.0,369223.0
B01EUKR7OW,,株式会社フューチャーズ,16980.0,
B0118HQZH0,,Faith iSM,16800.0,945102.0
B00J8LVJQG,,,16680.0,188026.0
B01EX77GJS,,MeeGo,16000.0,
B01FS2NWDQ,,Unbranded,16800.0,
B01FS8DE6U,,Unbranded/Generic,16800.0,
B0178WPXP4,,HopCentury,16800.0,
B01EN7QOO6,,inWatch,16557.0,
B019JQGN10,,faith ism,16800.0,
B016OD9YEY,,Asus,17900.0,5573.0
B01GC9NFDQ,,SRI SHOP,17940.0,131485.0
B0103IX8DY,,Pebble,17200.0,52523.0
B01CU4XORY,,Sony,17800.0,326042.0
B00H6JQB88,,Samsung,17500.0,253188.0
B01ELF8AR4,,Apro,17707.0,1019236.0
B01CFXTFEG,,LIKECAR,17008.0,
B0178WMMTY,,Epik,17986.0,
B018Z1LKMW,,MyKronoz,17800.0,
B01HHLZOM8,,NO.1,17980.0,
B01HHLWOJO,,NO.1,17980.0,
B00IO9IHGS,,Martian Watches,17877.0,1414400.0
B01DNNWT9A,,RZHHC,17955.0,
B0041G52PC,2010-11-11,Sleep tracker(スリープトラッカー),18780.0,2059.0
B01FUIUHRC,,IQI,18999.0,89392.0
B01CHZ9CJU,,ZGPAX,18304.0,289909.0
B00JL68J6Q,,,18250.0,113718.0
B00WG7R1IY,,イーバランス,18990.0,472733.0
B00HIW524M,,,18800.0,410947.0
B01FRYT1JY,,Unbranded/Generic,18800.0,
B01BHER09Q,,株式会社フューチャーズ,18000.0,
B01GCFE38G,,Garmin,18800.0,
B00WC0KJM0,2016-06-24,Asustek,19094.0,9367.0
B00PC7PDSA,,Motorola,19979.0,7198.0
B00OXDS34K,2014-11-21,ASUSTek,19600.0,103541.0
B00Z61O3G0,,,19990.0,62591.0
B018ORDSC2,,HUAWEI,19000.0,67602.0
B019XMPY1A,,Youngs,19973.0,927423.0
B01DCX5LWI,,NO.1,19980.0,270225.0
B00G94LO42,,Samsung,19800.0,203499.0
B01DG9YV8I,,NO.1,19980.0,48723.0
B01EUKM5KI,,株式会社フューチャーズ,19800.0,
B01C3O5V36,,FCMADE,19800.0,
B01H5GV2Z8,,IQI,19899.0,78694.0
B012A2YBX2,,KKmoon,19872.0,
B01DNNWXFK,,RZHHC,19726.0,
B0178WM1F4,,Diesel,19800.0,
B01FFAZIR4,2016-05-19,Withings,22790.0,8528.0
B00OUEN9IC,,Motorola,22780.0,67331.0
B0166NBSFK,,Pebble Technology Corp,22250.0,15948.0
B0166N32VI,,Pebble,22300.0,56150.0
B01DW0GHEC,,DM360,22057.0,185227.0
B019XMPZKU,,Youngs,22510.0,295576.0
B01E3SZGC6,,Haier,22093.0,512659.0
B01028PX56,,Polar,22000.0,1060609.0
B00Z946WYU,2015-07-17,LG Electronics Japan,,175235.0
B00PI2LG2G,,Sincere　Inc.,22500.0,53143.0
B00FQBFHOM,,Sony,22800.0,222222.0
B0178WN07W,,KESS Global Inc.,22593.0,
B0178WKJX0,,KESS Global Inc.,22876.0,
B01EF7R0CY,,ZGPAX,22466.0,
B00PD8JY60,,Motorola,22800.0,120869.0
B00N9OAQI0,,ソニー,22380.0,8231.0
B019O8ZCC4,,Pebble,23780.0,231080.0
B01BRAIZV2,,Elephone,23222.0,516422.0
B00WSBXMP4,,cookoo,23142.0,1022672.0
B00MF7HBG2,,,23900.0,383161.0
B017VXR2JU,,Zeblaze,23285.0,765171.0
B019XMPXUM,,Youngs,23364.0,910831.0
B0178WREHE,,Asus,23600.0,906414.0
B009ZD5ZSU,,,23800.0,384265.0
B00PI2LHG6,,Sincere　Inc.,23000.0,77015.0
B00JMXXQ9S,,Samsung,23980.0,451364.0
B00XE6J4AO,,CooKoo,23142.0,
B0178WPLK6,,KESS Global Inc.,23955.0,
B0178WKLSI,,KESS Global Inc.,23759.0,
B0178WPVNS,,KESS Global Inc.,23096.0,
B01FVE1TIQ,,COOKOO,23142.0,
B01DITTJK6,,LEMFO,23254.0,
B0184HP0Y6,,Sony,23100.0,
B00P62R5V4,,Motorola Mobility,24980.0,32608.0
B00Z61NVZ4,,,24890.0,16481.0
B01C71R8L8,,DOOGEE,24800.0,140243.0
B00UMXK4TW,,ソニー,24460.0,106460.0
B01DA5OQ0Q,,Aiwatch,24865.0,703816.0
B00IA9FKMQ,,pebble,24000.0,249210.0
B00ZZ7588W,,Origin,24880.0,567020.0
B0178WL7A4,,ECO Sound Engineering,24323.0,
B0148LUM54,,,24500.0,
B0148LUQAU,,,24500.0,
B0148LUT3Y,,,24163.0,
B0178WM41A,,KESS Global Inc.,24409.0,
B0178WKT3A,,KESS Global Inc.,24672.0,
B00VMN6L5W,,META WATCH LTD,24203.0,
B01ERNGJ5K,,Pebble,24800.0,
B017R8NTD2,,Pebble,25800.0,12386.0
B0169LP6ZM,,,25000.0,27991.0
B016A8779C,,pebble,25900.0,16132.0
B00G955CL2,,Samsung,25000.0,109488.0
B01DF0349A,,Sony,25883.0,413697.0
B00P3T701K,,LG,25800.0,1258087.0
B01FJAQRRK,2016-06-17,Fitbit,26297.0,2076.0
B00PATNR88,,Samsung,26790.0,128628.0
B00FH9I0FQ,,Samsung,26000.0,74877.0
B00PAU4LQY,,Samsung,26790.0,262976.0
B01AHSXCSG,,Fitbit,26000.0,312521.0
B00WSBXMQS,,cookoo,26800.0,
B00ZEVZS52,,COOKOO,26800.0,936676.0
B00KY9JUNK,,SNEER,26367.0,
B0178WQBUK,,Diesel,26800.0,
B01AHEDESS,,Motorola,27998.0,12479.0
B00OBHEQF8,,Motorola,27980.0,145289.0
B00PI2LH3Y,,Sincere　Inc.,27000.0,31996.0
